,2h prediction Sennheutte,3h prediction Sennheutte,4h prediction Sennheutte,8h prediction Sennheutte,12h prediction Sennheutte
BravaisPearson_corr,0.9903668919123857,0.9851522972270264,0.9799190992791892,0.9565490216736079,0.9336545744796951
(E)NSE,0.980733706461234,0.970304425766165,0.9598379108371795,0.9130970428256653,0.8673068085103233
(d)IoA,0.9951620553613703,0.9925253738536652,0.9898663696121887,0.9778259900661695,0.9657626516113028
(E)NSE_mod_J=3,0.9847595743053665,0.9737632446709149,0.961609878933487,0.8886178551243569,0.8206331596606838
(d)IoA_mod_J=3,0.9980453559885792,0.9965799582988895,0.9949199954010718,0.9842656615683727,0.9733487075400504
(E)NSE_rel,0.9937619062676486,0.9911965114353655,0.9886094549018433,0.9794364635466172,0.9718421270286541
(d)IoA_rel,0.9984335569232881,0.9977840877806902,0.9971259569323582,0.9947530432056844,0.9927347372085805
