;2h prediction Sennheutte;3h prediction Sennheutte;4h prediction Sennheutte
BravaisPearson_corr;0.9864391803422211;0.9854797728864526;0.9799179905792795
(E)NSE;0.969373969385691;0.9691874279786712;0.9530407569419656
(d)IoA;0.9917509433828402;0.9918362778112619;0.9871236287700406
(E)NSE_mod_J=3;0.970967438819102;0.9762924415654005;0.9622699584923833
(d)IoA_mod_J=3;0.9965868591140755;0.9967593559343962;0.9947396160244545
(E)NSE_rel;0.9551575950328076;0.9805365243841971;0.9078429181660322
(d)IoA_rel;0.9879217929975179;0.9948431955746926;0.974730240099965
